label_id,label_type,name,name_type,name_source
1,species,Abavorana luctuosa,scientific,SpeciesMapping_11
1,species,Hylarana luctuosa,scientific,SpeciesMapping_11
3,species,Abeillia abeillei,scientific,SpeciesMapping_11
3,species,Emerald-chinned Hummingbird,common_en,SpeciesMapping_11
3,species,emchum1,ml_species_code,SpeciesMapping_11
4,species,Abies balsamea,scientific,SpeciesMapping_11
5,species,Abroscopus albogularis,scientific,SpeciesMapping_11
5,species,Rufous-faced Warbler,common_en,SpeciesMapping_11
5,species,rufwar1,ml_species_code,SpeciesMapping_11
6,species,Abroscopus schisticeps,scientific,SpeciesMapping_11
6,species,Black-faced Warbler,common_en,SpeciesMapping_11
6,species,blfwar1,ml_species_code,SpeciesMapping_11
7,species,Abroscopus superciliaris,scientific,SpeciesMapping_11
7,species,Yellow-bellied Warbler,common_en,SpeciesMapping_11
7,species,yebwar1,ml_species_code,SpeciesMapping_11
8,species,Abudefduf saxatilis,scientific,SpeciesMapping_11
8,species,Damsel fish,common_en,SpeciesMapping_11
8,species,t-10950238,ml_species_code,SpeciesMapping_11
9,species,Aburria aburri,scientific,SpeciesMapping_11
9,species,Wattled Guan,common_en,SpeciesMapping_11
9,species,watgua1,ml_species_code,SpeciesMapping_11
10,species,Acacia islana,scientific,SpeciesMapping_11
11,species,Acacia melanoxylon,scientific,SpeciesMapping_11
12,species,Acanthagenys rufogularis,scientific,SpeciesMapping_11
12,species,Spiny-cheeked Honeyeater,common_en,SpeciesMapping_11
12,species,spchon1,ml_species_code,SpeciesMapping_11
13,species,Acanthidops bairdi,scientific,SpeciesMapping_11
13,species,Peg-billed Finch,common_en,SpeciesMapping_11
13,species,pebfin1,ml_species_code,SpeciesMapping_11
14,species,Acanthinodera cumingii,scientific,SpeciesMapping_11
15,species,Acanthis cabaret,scientific,SpeciesMapping_11
16,species,Acanthis flammea,scientific,SpeciesMapping_11
16,species,Carduelis flammea,scientific,SpeciesMapping_11
16,species,Redpoll,common_en,SpeciesMapping_11
16,species,redpol1,ml_species_code,SpeciesMapping_11
18,species,Acanthis hornemanni,scientific,SpeciesMapping_11
19,species,Acanthisitta chloris,scientific,SpeciesMapping_11
19,species,Rifleman,common_en,SpeciesMapping_11
19,species,riflem1,ml_species_code,SpeciesMapping_11
20,species,Acanthiza apicalis,scientific,SpeciesMapping_11
20,species,Inland Thornbill,common_en,SpeciesMapping_11
20,species,inltho1,ml_species_code,SpeciesMapping_11
21,species,Acanthiza chrysorrhoa,scientific,SpeciesMapping_11
21,species,Yellow-rumped Thornbill,common_en,SpeciesMapping_11
21,species,yertho1,ml_species_code,SpeciesMapping_11
22,species,Acanthiza cinerea,scientific,SpeciesMapping_11
22,species,Gray Thornbill,common_en,SpeciesMapping_11
22,species,mouger1,ml_species_code,SpeciesMapping_11
23,species,Acanthiza ewingii,scientific,SpeciesMapping_11
23,species,Tasmanian Thornbill,common_en,SpeciesMapping_11
23,species,tastho1,ml_species_code,SpeciesMapping_11
24,species,Acanthiza inornata,scientific,SpeciesMapping_11
24,species,Western Thornbill,common_en,SpeciesMapping_11
24,species,westho1,ml_species_code,SpeciesMapping_11
25,species,Acanthiza iredalei,scientific,SpeciesMapping_11
25,species,Slender-billed Thornbill,common_en,SpeciesMapping_11
25,species,slbtho2,ml_species_code,SpeciesMapping_11
26,species,Acanthiza katherina,scientific,SpeciesMapping_11
26,species,Mountain Thornbill,common_en,SpeciesMapping_11
26,species,moutho1,ml_species_code,SpeciesMapping_11
27,species,Acanthiza lineata,scientific,SpeciesMapping_11
27,species,Striated Thornbill,common_en,SpeciesMapping_11
27,species,strtho1,ml_species_code,SpeciesMapping_11
28,species,Acanthiza murina,scientific,SpeciesMapping_11
28,species,Papuan Thornbill,common_en,SpeciesMapping_11
