srcLabelIx,srcLabelName,dstLabelId
0,BeardedVulture_Gypaetus barbatus,7343
1,White-cheekedPintail_Anas bahamensis,819
2,GreatWhitePelican_Pelecanus onocrotalus,12291
3,CaspianSnowcock_Tetraogallus caspius,16605
4,YelkouanShearwater_Puffinus yelkouan,14511
5,IraqBabbler_Argya altirostris,1476
6,AfricanSacredIbis_Threskiornis aethiopicus,16752
7,Cream-coloredCourser_Cursorius cursor,4857
8,AzoresBullfinch_Pyrrhula murina,14619
9,BrownFishOwl_Ketupa zeylonensis,8471
10,Thick-billedMurre_Uria lomvia,17370
11,PygmyCormorant_Microcarbo pygmaeus,10112
12,EasternImperialEagle_Aquila heliaca,1314
13,BonellisEagle_Aquila fasciata,1311
14,Orange-cheekedWaxbill_Estrilda melpoda,6207
15,PallidHarrier_Circus macrourus,3913
16,GreaterRhea_Rhea americana,14891
17,DesertFinch_Rhodospiza obsoleta,15036
18,Band-rumpedStormPetrel_Hydrobates castro,7833
19,Red-tailedWheatear_Oenanthe chrysopygia,11459
20,FinschsWheatear_Oenanthe finschii,11464
21,Gyrfalcon_Falco rusticolus,6503
22,ReevessPheasant_Syrmaticus reevesii,16318
23,AmericanFlamingo_Phoenicopterus ruber,12700
24,Long-leggedBuzzard_Buteo rufinus,2450
25,MuscovyDuck_Cairina moschata,2542
26,LeachsStormPetrel_Hydrobates leucorhous,7841
27,GoldenPheasant_Chrysolophus pictus,3714
28,Red-breastedGoose_Branta ruficollis,2280
29,Yellow-collaredLovebird_Agapornis personatus,371
30,GreaterScaup_Aythya marila,1854
31,KingEider_Somateria spectabilis,15741
32,DeadSeaSparrow_Passer moabiticus,12210
33,CinnamonTeal_Spatula cyanoptera,828
34,CaucasianSnowcock_Tetraogallus caucasicus,16606
35,FerruginousDuck_Aythya nyroca,1856
36,Black-wingedPratincole_Glareola nordmanni,7052
37,AfricanCollaredDove_Streptopelia roseogrisea,16111
38,SpanishImperialEagle_Aquila adalberti,1305
39,BlackLark_Melanocorypha yeltoniensis,9889
40,SabinesGull_Xema sabini,17609
41,White-wingedLark_Alauda leucoptera,446
42,ChileanFlamingo_Phoenicopterus chilensis,12698
43,SiberianAccentor_Prunella montanella,13995
44,BlackStork_Ciconia nigra,3790
45,LadyAmherstsPheasant_Chrysolophus amherstiae,3713
46,LesserGreyShrike_Lanius minor,8673
47,GreatRosefinch_Carpodacus rubicilla,2961
48,PallassGull_Larus ichthyaetus,8142
49,IcelandGull_Larus glaucoides,8706
50,PaleRockfinch_Carpospiza brachydactyla,2979
51,ZinosPetrel_Pterodroma madeira,14304
52,HarlequinDuck_Histrionicus histrionicus,7754
53,Black-rumpedWaxbill_Estrilda troglodytes,6216
54,AmericanBlackDuck_Anas rubripes,856
55,Smew_Mergellus albellus,10020
56,NorthernBaldIbis_Geronticus eremita,7021
57,UplandGoose_Chloephaga picta,3499
58,Red-billedTropicbird_Phaethon aethereus,12505
59,BaroloShearwater_Puffinus baroli,14499
60,SnowyOwl_Bubo scandiacus,2342
61,WesternReefHeron_Egretta gularis,5769
62,BarrowsGoldeneye_Bucephala islandica,2358
63,UpchersWarbler_Hippolais languida,7718
64,LesserFlamingo_Phoeniconaias minor,12695
65,CinereousBunting_Emberiza cineracea,5909
66,Black-throatedAccentor_Prunella atrogularis,13988
67,RaddesAccentor_Prunella ocularis,13996
68,PlainSwift_Apus unicolor,1300
69,FischersLovebird_Agapornis fischeri,368
70,GüldenstädtsRedstart_Phoenicurus erythrogastrus,12712
71,RüppellsWarbler_Curruca ruppeli,4849
72,CyprusWarbler_Curruca melanothorax,4841
73,EuropeanShag_Gulosus aristotelis,7295
74,CyprusScopsOwl_Otus cyprius,11842
75,LesserWhite-frontedGoose_Anser erythropus,998
76,Ruff_Calidris pugnax,2599
77,SombreTit_Poecile lugubris,13457
78,Wallcreeper_Tichodroma muraria,16800
79,SemicollaredFlycatcher_Ficedula semitorquata,6558
80,RuddyDuck_Oxyura jamaicensis,11905
81,MaskedShrike_Lanius nubicus,8675
82,Yellow-crownedBishop_Euplectes afer,6368
83,GreatSkua_Stercorarius skua,16020
84,Ring-neckedDuck_Aythya collaris,1850
85,White-throatedRobin_Irania gutturalis,8306
86,NandayParakeet_Aratinga nenday,1379
87,EasternRockNuthatch_Sitta tephronota,15714
88,Red-tailedShrike_Lanius phoenicuroides,8676
89,CyprusWheatear_Oenanthe cypriaca,11460
90,CaspianTit_Poecile hyrcanus,13456
91,TenerifeBlueChaffinch_Fringilla teydea,6664
92,EasternBonellisWarbler_Phylloscopus orientalis,12921
93,Olive-treeWarbler_Hippolais olivetorum,7719
94,Red-billedQuelea_Quelea quelea,14658
95,Red-frontedSerin_Serinus pusillus,15574
96,SwinhoesSnipe_Gallinago megala,6762
97,IndianSilverbill_Euodice malabarica,6302
98,HimalayanCuckoo_Cuculus saturatus,4806
99,White-tailedLapwing_Vanellus leucurus,17442
100,SootyTern_Onychoprion fuscatus,11591
101,DesertLark_Ammomanes deserti,709
102,BalearicWarbler_Curruca balearica,4821
103,GreaterSpottedEagle_Clanga clanga,1309
104,Grey-neckedBunting_Emberiza buchanani,5902
105,BootedEagle_Hieraaetus pennatus,7703
106,Pin-tailedSnipe_Gallinago stenura,6768
107,Rough-leggedBuzzard_Buteo lagopus,2440
108,BlackSwan_Cygnus atratus,4974
109,White-rumpedSwift_Apus caffer,1289
110,ScottishCrossbill_Loxia scotica,9370
111,AsianDesertWarbler_Sylvia nana,4845
112,VelvetScoter_Melanitta fusca,9873
113,EasternBlack-earedWheatear_Oenanthe melanoleuca,11470
114,GriffonVulture_Gyps fulvus,7348
115,BimaculatedLark_Melanocorypha bimaculata,9885
116,HenHarrier_Circus cyaneus,3910
117,CretzschmarsBunting_Emberiza caesia,5904
118,GlaucousGull_Larus hyperboreus,8708
119,Black-belliedSandgrouse_Pterocles orientalis,14280
120,AudouinsGull_Ichthyaetus audouinii,8140
121,SwanGoose_Anser cygnoid,996
122,Black-throatedThrush_Turdus atrogularis,17179
123,ScopolisShearwater_Calonectris diomedea,2703
124,Scaly-breastedMunia_Lonchura punctulata,9267
125,Red-knobbedCoot_Fulica cristata,6677
126,GreaterSandPlover_Charadrius leschenaultii,805
127,AtlanticPuffin_Fratercula arctica,6642
128,CrestedMyna_Acridotheres cristatellus,120
129,CacklingGoose_Branta hutchinsii,2278
130,BonapartesGull_Larus philadelphia,3677
131,LesserSpottedEagle_Clanga pomarina,1316
132,CorsicanNuthatch_Sitta whiteheadi,15717
133,NorthernGannet_Morus bassanus,10424
134,Turquoise-frontedAmazon_Amazona aestiva,614
135,Red-headedBunting_Emberiza bruniceps,5901
136,OrientalTurtleDove_Streptopelia orientalis,16109
137,WhitesThrush_Zoothera aurea,17804
138,PacificGoldenPlover_Pluvialis fulva,13417
139,Shikra_Accipiter badius,51
140,SykessWarbler_Iduna rama,8210
141,Red-ventedBulbul_Pycnonotus cafer,14548
142,Scaly-headedParrot_Pionus maximiliani,13095
143,Red-maskedParakeet_Psittacara erythrogenys,1363
144,MongolianFinch_Bucanetes mongolicus,2350
145,MitredParakeet_Psittacara mitratus,1375
