srcLabelIx,srcLabelName,dstLabelId
0,Parus major,12187
1,Fringilla coelebs,6658
2,Luscinia megarhynchos,9400
3,Turdus merula,17220
4,Phylloscopus collybita,12883
5,Erithacus rubecula,6151
6,Phylloscopus trochilus,12941
7,Cyanistes caeruleus,4868
8,Sylvia atricapilla,16208
9,Emberiza citrinella,5912
10,Turdus philomelos,17238
11,Troglodytes troglodytes,17103
12,Sylvia communis,4825
13,Emberiza hortulana,5918
14,Periparus ater,12413
15,Chloris chloris,3509
16,Loxia curvirostra,9366
17,Dendrocopos major,5207
18,Sitta europaea,15697
19,Emberiza calandra,5905
20,Anthus trivialis,1127
21,Garrulus glandarius,6870
22,Alauda arvensis,444
23,Passer montanus,12211
24,Phoenicurus phoenicurus,12719
25,Aegithalos caudatus,231
26,Emberiza schoeniclus,5932
27,Sylvia curruca,4830
28,Prunella modularis,13994
29,Sylvia borin,16209
30,Regulus regulus,14828
31,Carduelis carduelis,2922
32,Poecile palustris,13459
33,Passer domesticus,12198
34,Dryocopus martius,5607
35,Pyrrhula pyrrhula,14622
36,Crex crex,4627
37,Turdus pilaris,17239
38,Acrocephalus palustris,159
39,Corvus corax,4444
40,Poecile montanus,13458
41,Strix aluco,16126
42,Acrocephalus scirpaceus,166
43,Cuculus canorus,4793
44,Certhia brachydactyla,3217
45,Sylvia melanocephala,16211
46,Rallus aquaticus,14690
47,Lophophanes cristatus,9299
48,Cettia cetti,3248
49,Carduelis spinus,2931
50,Motacilla flava,10433
51,Certhia familiaris,3219
52,Turdus viscivorus,17263
53,Phylloscopus sibilatrix,12932
54,Carduelis cannabina,2920
55,Luscinia luscinia,9399
56,Acrocephalus schoenobaenus,165
57,Hirundo rustica,7744
58,Ficedula hypoleuca,6547
59,Acrocephalus arundinaceus,139
60,Anthus pratensis,1117
61,Sturnus vulgaris,16165
62,Oriolus oriolus,11705
63,Turdus iliacus,17204
64,Motacilla alba,10428
65,Serinus serinus,15575
66,Corvus corone,4446
67,Coccothraustes coccothraustes,4050
68,Pica pica,13006
69,Regulus ignicapilla,14826
70,Carpodacus erythrinus,2951
71,Hippolais icterina,7717
72,Corvus cornix,4445
73,Dendrocopos minor,5210
74,Fulica atra,6675
75,Picus viridis,13061
76,Phylloscopus ibericus,12896
77,Phoenicurus ochruros,12718
78,Phylloscopus bonelli,12871
79,Luscinia svecica,9402
80,Anas platyrhynchos,852
81,Anser anser,989
82,Locustella naevia,9230
83,Porzana porzana,13768
84,Gallinago gallinago,6755
85,Lullula arborea,9391
86,Tringa totanus,17059
87,Vanellus vanellus,17454
88,Gallinula chloropus,6772
89,Saxicola rubetra,15273
90,Numenius arquata,11230
91,Caprimulgus europaeus,2871
92,Dendrocopos medius,5208
93,Emberiza cirlus,5911
94,Ardea cinerea,1437
95,Picus canus,13051
96,Buteo buteo,2435
97,Ficedula parva,6552
98,Locustella fluviatilis,9221
99,Chroicocephalus ridibundus,3679
100,Fringilla montifringilla,6660
101,Coloeus monedula,4159
102,Streptopelia decaocto,16105
103,Muscicapa striata,10472
104,Columba palumbus,4198
105,Corvus frugilegus,4454
106,Haematopus ostralegus,7389
107,Apus apus,1283
108,Grus grus,7226
109,Asio otus,1615
110,Phasianus colchicus,12584
111,Aegolius funereus,245
112,Sylvia nisoria,4847
113,Merops apiaster,10031
114,Phylloscopus trochiloides,12940
115,Coturnix coturnix,4548
116,Carduelis flammea,16
117,Delichon urbicum,5159
118,Galerida cristata,6736
119,Larus canus,8700
120,Upupa epops,17362
121,Tachybaptus ruficollis,16337
122,Jynx torquilla,8441
123,Locustella luscinioides,9226
124,Nucifraga caryocatactes,11225
125,Tringa nebularia,17054
126,Cisticola juncidis,3962
127,Actitis hypoleucos,201
128,Saxicola rubicola,15274
129,Alcedo atthis,460
130,Botaurus stellaris,2202
131,Scolopax rusticola,15440
132,Otus scops,11878
133,Lanius collurio,8658
134,Athene noctua,1715
135,Bubo bubo,2328
136,Cygnus cygnus,4977
137,Porzana parva,13765
138,Cygnus olor,4979
139,Remiz pendulinus,14837
140,Charadrius dubius,3366
141,Motacilla cinerea,10430
142,Tringa ochropus,17055
143,Limosa limosa,9091
144,Tringa glareola,17050
145,Sterna hirundo,16027
146,Sylvia cantillans,16210
147,Larus argentatus,8693
148,Sylvia undata,4854
149,Streptopelia turtur,16115
150,Ficedula albicollis,6533
151,Anser albifrons,988
152,Branta canadensis,2277
153,Phylloscopus canariensis,12877
154,Himantopus himantopus,7710
155,Recurvirostra avosetta,14820
156,Perdix perdix,12393
157,Branta leucopsis,2279
158,Alectoris rufa,499
159,Oenanthe oenanthe,11479
160,Panurus biarmicus,12058
161,Podiceps cristatus,13432
162,Accipiter gentilis,50
163,Anas penelope,848
164,Loxia pytyopsittacus,9369
165,Anthus petrosus,1116
166,Anthus spinoletta,1124
167,Larus michahellis,8711
168,Riparia riparia,15087
169,Podiceps grisegena,13434
170,Anthus campestris,1088
171,Loxia leucoptera,9367
172,Chlidonias hybrida,3488
173,Falco tinnunculus,6508
174,Emberiza cia,5908
175,Calcarius lapponicus,2565
176,Anthus cervinus,1089
177,Tadorna tadorna,16388
178,Circus aeruginosus,3905
179,Tetrastes bonasia,16613
180,Bucephala clangula,2357
181,Tringa erythropus,17048
182,Phalacrocorax carbo,12540
183,Emberiza rustica,5929
184,Charadrius hiaticula,3369
185,Tyto alba,17324
186,Ixobrychus minutus,8399
187,Columba oenas,4195
188,Lanius excubitor,8662
189,Aythya fuligula,1852
190,Passer hispaniolensis,12204
191,Lyrurus tetrix,9443
192,Falco subbuteo,6506
193,Numenius phaeopus,11234
194,Calidris alpina,2585
195,Larus marinus,8710
196,Pyrrhocorax pyrrhocorax,14610
197,Melanocorypha calandra,9886
198,Plectrophenax nivalis,13316
199,Emberiza pusilla,5928
200,Aythya ferina,1851
201,Anas strepera,862
202,Sterna paradisaea,16028
203,Arenaria interpres,1468
204,Chlidonias niger,3490
205,Larus fuscus,8704
206,Phylloscopus borealis,12872
207,Chlidonias leucopterus,3489
208,Monticola solitarius,10407
209,Carduelis citrinella,2923
210,Thalasseus sandvicensis,16658
211,Anas querquedula,854
212,Haliaeetus albicilla,7423
213,Sylvia conspicillata,4827
214,Somateria mollissima,15740
215,Galerida theklae,6742
216,Acrocephalus paludicola,158
217,Porzana pusilla,13769
218,Larus cachinnans,8698
219,Charadrius alexandrinus,793
220,Accipiter nisus,79
221,Milvus migrans,10217
222,Pyrrhocorax graculus,14609
223,Calandrella brachydactyla,2561
224,Clangula hyemalis,3995
225,Acrocephalus melanopogon,153
226,Tetrao urogallus,16603
227,Alopochen aegyptiaca,564
228,Gavia arctica,6901
229,Phoenicopterus roseus,12699
230,Bubo scandiacus,2342
231,Falco peregrinus,6498
232,Calandrella rufescens,451
233,Emberiza melanocephala,5924
234,Emberiza aureola,5900
235,Anser fabalis,999
236,Charadrius morinellus,3379
237,Pandion haliaetus,12045
238,Rissa tridactyla,15090
239,Anser serrirostris,1003
240,Podiceps nigricollis,13436
241,Cygnus columbianus,4976
242,Clamator glandarius,3992
243,Calidris ferruginea,2590
244,Lagopus muta,8556
245,Milvus milvus,10218
246,Aquila pomarina,1316
247,Anas acuta,816
248,Mergus serrator,10023
249,Calidris canutus,2587
250,Stercorarius skua,16020
251,Hippolais olivetorum,7719
252,Oenanthe leucura,11473
253,Lanius minor,8673
