srcLabelIx,srcLabelName,dstLabelId
0,Abroscopus albogularis,5
1,Abroscopus schisticeps,6
2,Abroscopus superciliaris,7
3,Aburria aburri,9
4,Acanthagenys rufogularis,12
5,Acanthidops bairdi,13
6,Acanthis cabaret,15
7,Acanthis flammea,16
8,Acanthis hornemanni,18
9,Acanthisitta chloris,19
10,Acanthiza apicalis,20
11,Acanthiza chrysorrhoa,21
12,Acanthiza ewingii,23
13,Acanthiza inornata,24
14,Acanthiza lineata,27
15,Acanthiza nana,29
16,Acanthiza pusilla,30
17,Acanthiza reguloides,31
18,Acanthiza uropygialis,33
19,Acanthorhynchus superciliosus,40
20,Acanthorhynchus tenuirostris,41
21,Accipiter badius,51
22,Accipiter bicolor,52
23,Accipiter cirrocephalus,57
24,Accipiter cooperii,60
25,Accipiter fasciatus,64
26,Accipiter gentilis,50
27,Accipiter gularis,67
28,Accipiter hiogaster,72
29,Accipiter melanoleucus,75
30,Accipiter minullus,77
31,Accipiter nisus,79
32,Accipiter novaehollandiae,80
33,Accipiter poliogaster,83
34,Accipiter soloensis,87
35,Accipiter striatus,88
36,Accipiter superciliosus,89
37,Accipiter tachiro,91
38,Accipiter trinotatus,93
39,Accipiter trivirgatus,94
40,Accipiter virgatus,96
41,Aceros nipalensis,106
42,Achaetops pycnopygius,107
43,Acridotheres burmannicus,119
44,Acridotheres cristatellus,120
45,Acridotheres fuscus,121
46,Acridotheres ginginianus,122
47,Acridotheres grandis,123
48,Acridotheres javanicus,124
49,Acridotheres tristis,127
50,Acris crepitans,130
51,Acris gryllus,131
52,Acrobatornis fonsecai,136
53,Acrocephalus agricola,138
54,Acrocephalus arundinaceus,139
55,Acrocephalus australis,141
56,Acrocephalus baeticatus,142
57,Acrocephalus bistrigiceps,143
58,Acrocephalus concinens,146
59,Acrocephalus dumetorum,147
60,Acrocephalus gracilirostris,149
61,Acrocephalus griseldis,150
62,Acrocephalus melanopogon,153
63,Acrocephalus newtoni,155
64,Acrocephalus orientalis,156
65,Acrocephalus paludicola,158
66,Acrocephalus palustris,159
67,Acrocephalus rufescens,164
68,Acrocephalus schoenobaenus,165
69,Acrocephalus scirpaceus,166
70,Acrocephalus stentoreus,168
71,Acrocephalus tangorum,171
72,Acropternis orthonyx,182
73,Actenoides concretus,185
74,Actenoides lindsayi,187
75,Actenoides monachus,188
76,Actinodura cyanouroptera,190
77,Actinodura egertoni,192
78,Actinodura nipalensis,194
79,Actinodura ramsayi,195
80,Actinodura strigula,198
81,Actinodura waldeni,199
82,Actitis hypoleucos,201
83,Actitis macularius,202
84,Actophilornis africanus,203
85,Adelomyia melanogenys,207
86,Aechmophorus clarkii,227
87,Aechmophorus occidentalis,228
88,Aegithalos caudatus,231
89,Aegithalos concinnus,232
90,Aegithalos glaucogularis,235
91,Aegithalos iouschistos,236
92,Aegithalos niveogularis,238
93,Aegithina nigrolutea,241
94,Aegithina tiphia,242
95,Aegithina viridissima,243
96,Aegolius acadicus,244
97,Aegolius funereus,245
98,Aegolius harrisii,246
99,Aegolius ridgwayi,247
100,Aegotheles cristatus,251
101,Aegypius monachus,255
102,Aerodramus bartschi,266
103,Aerodramus fuciphagus,271
104,Aerodramus maximus,277
105,Aeronautes andecolus,288
106,Aeronautes montivagus,289
107,Aeronautes saxatalis,290
108,Aethia pusilla,299
109,Aethia pygmaea,300
110,Aethopyga christinae,310
111,Aethopyga gouldiae,315
112,Aethopyga ignicauda,317
113,Aethopyga nipalensis,322
114,Aethopyga saturata,325
115,Aethopyga siparaja,327
116,Aethopyga temminckii,328
117,Aethopyga vigorsii,330
118,Agapornis canus,367
119,Agapornis fischeri,368
120,Agapornis personatus,371
121,Agapornis roseicollis,373
122,Agapornis taranta,375
123,Agelaioides badius,376
124,Agelaius phoeniceus,381
125,Agelaius tricolor,382
126,Agelasticus cyanopus,386
127,Agelasticus thilius,387
128,Agelasticus xanthophthalmus,388
129,Aglaiocercus coelestis,395
130,Aglaiocercus kingii,396
131,Agriornis montanus,412
132,Agropsar philippensis,415
133,Agropsar sturninus,416
134,Ailuroedus crassirostris,422
135,Ailuroedus maculosus,425
136,Aimophila notosticta,432
137,Aimophila rufescens,433
138,Aimophila ruficeps,434
139,Aix galericulata,436
140,Aix sponsa,437
141,Akletos goeldii,440
142,Akletos melanoceps,441
143,Alaemon alaudipes,442
144,Alauda arvensis,444
145,Alauda gulgula,445
146,Alaudala cheleensis,449
147,Alaudala heinei,450
148,Alaudala raytal,453
149,Alaudala rufescens,451
150,Alaudala somalica,454
151,Alca torda,459
152,Alcedo atthis,460
153,Alcedo meninting,465
154,Alcippe brunneicauda,471
155,Alcippe fratercula,476
156,Alcippe hueti,478
157,Alcippe morrisonia,480
158,Alcippe nipalensis,481
159,Alcippe peracensis,482
160,Alcippe poioicephala,483
161,Alcippe pyrrhoptera,484
162,Aleadryas rufinucha,491
163,Alectoris barbara,493
164,Alectoris chukar,494
165,Alectoris graeca,495
166,Alectoris rufa,499
167,Alectura lathami,505
168,Alethe castanea,507
169,Alethe diademata,508
170,Alipiopsitta xanthops,510
171,Alisterus scapularis,513
172,Allenia fusca,515
173,Allonemobius allardi,538
174,Allonemobius tinnulus,547
175,Allonemobius walkeri,548
176,Alophoixus finschii,555
177,Alophoixus flaveolus,557
178,Alophoixus ochraceus,559
179,Alophoixus pallidus,561
180,Alophoixus phaeocephalus,562
181,Alophoixus tephrogenys,554
182,Alopochelidon fucata,563
183,Alopochen aegyptiaca,564
184,Alouatta pigra,571
185,Amalocichla incerta,587
186,Amandava amandava,589
187,Amaurolimnas concolor,593
188,Amaurornis isabellina,597
189,Amaurornis moluccana,599
190,Amaurornis phoenicurus,602
191,Amaurospiza concolor,605
192,Amaurospiza moesta,606
193,Amazilia luciae,610
194,Amazilia rutila,611
195,Amazilia tzacatl,612
196,Amazilia yucatanensis,613
197,Amazilis amazilia,607
198,Amazona aestiva,614
199,Amazona agilis,615
200,Amazona albifrons,616
201,Amazona amazonica,617
202,Amazona auropalliata,619
203,Amazona autumnalis,620
204,Amazona brasiliensis,623
205,Amazona dufresniana,625
206,Amazona farinosa,626
207,Amazona festiva,628
208,Amazona finschi,629
209,Amazona kawalli,632
210,Amazona leucocephala,633
211,Amazona mercenarius,634
212,Amazona ochrocephala,635
213,Amazona oratrix,636
214,Amazona rhodocorytha,638
215,Amazona tucumana,640
216,Amazona ventralis,641
217,Amazona vinacea,643
218,Amazona viridigenalis,644
219,Amazona xantholora,646
220,Amazonetta brasiliensis,647
221,Amblycercus holosericeus,652
222,Amblycorypha alexanderi,653
223,Amblycorypha longinicta,661
224,Amblycorypha oblongifolia,662
225,Amblycorypha rotundifolia,665
226,Amblyornis newtoniana,672
227,Amblyospiza albifrons,674
228,Amblyramphus holosericeus,675
229,Ammodramus aurifrons,705
230,Ammodramus humeralis,706
231,Ammodramus savannarum,707
232,Ammomanes cinctura,708
233,Ammomanes deserti,709
234,Ammomanes phoenicura,710
235,Ammonastes pelzelni,712
236,Ammospiza caudacuta,719
237,Ammospiza leconteii,720
238,Ammospiza maritima,721
239,Ammospiza nelsoni,722
240,Ampelioides tschudii,733
241,Ampelion rubrocristatus,734
242,Ampelion rufaxilla,735
243,Ampelornis griseiceps,736
244,Amphispiza bilineata,743
245,Amphispizopsis quinquestriata,744
246,Anabacerthia amaurotis,762
247,Anabacerthia lichtensteini,763
248,Anabacerthia ruficaudata,764
249,Anabacerthia striaticollis,765
250,Anabacerthia variegaticeps,766
251,Anabazenops dorsalis,773
252,Anabazenops fuscus,774
253,Anairetes alpinus,785
254,Anairetes flavirostris,787
255,Anairetes nigrocristatus,788
256,Anairetes parulus,789
257,Anairetes reguloides,790
258,Anas acuta,816
259,Anas andium,818
260,Anas castanea,823
261,Anas crecca,827
262,Anas diazi,830
263,Anas flavirostris,835
264,Anas fulvigula,838
265,Anas georgica,839
266,Anas gracilis,841
267,Anas platyrhynchos,852
268,Anas poecilorhyncha,853
269,Anas rubripes,856
270,Anas superciliosa,864
271,Anas undulata,865
272,Anas wyvilliana,866
273,Anas zonorhyncha,867
274,Anastomus oscitans,870
275,Anaxipha exigua,874
276,Anaxyrus americanus,889
277,Anaxyrus canorus,892
278,Anaxyrus cognatus,893
279,Anaxyrus fowleri,897
280,Anaxyrus houstonensis,900
281,Anaxyrus microscaphus,903
282,Anaxyrus quercicus,906
283,Anaxyrus speciosus,908
284,Anaxyrus terrestris,909
285,Anaxyrus woodhousii,911
286,Ancistrops strigilatus,913
287,Andigena hypoglauca,916
288,Andigena laminirostris,917
289,Andigena nigrirostris,918
290,Androdon aequatorialis,925
291,Andropadus importunus,926
292,Anhima cornuta,944
293,Anhinga anhinga,945
294,Anhinga melanogaster,946
295,Anhinga novaehollandiae,947
296,Anisognathus igniventris,953
297,Anisognathus lacrymosus,954
298,Anisognathus somptuosus,957
299,Anodorhynchus hyacinthinus,959
300,Anodorhynchus leari,960
301,Anorrhinus galeritus,981
302,Anous ceruleus,984
303,Anous minutus,985
304,Anous stolidus,986
305,Anous tenuirostris,987
306,Anser albifrons,988
307,Anser anser,989
308,Anser brachyrhynchus,991
309,Anser caerulescens,992
310,Anser canagicus,994
311,Anser cygnoides,996
312,Anser erythropus,998
313,Anser fabalis,999
314,Anser indicus,1000
315,Anser rossii,1001
316,Anser serrirostris,1003
317,Anseranas semipalmata,1004
318,Anthipes monileger,1024
319,Anthipes solitaris,1025
320,Anthobaphes violacea,1026
321,Anthochaera carunculata,1029
322,Anthochaera chrysoptera,1030
323,Anthochaera lunulata,1031
324,Anthochaera paradoxa,1032
325,Anthochaera phrygia,1033
326,Anthornis melanura,1039
327,Anthoscopus minutus,1042
328,Anthoscopus musculus,1043
329,Anthracoceros albirostris,1046
330,Anthracoceros coronatus,1047
331,Anthracoceros malayanus,1048
332,Anthracothorax nigricollis,1054
333,Anthreptes malacensis,1065
334,Anthreptes orientalis,1067
335,Anthropoides paradiseus,1076
336,Anthropoides virgo,1078
337,Anthus berthelotii,1083
338,Anthus bogotensis,1084
339,Anthus campestris,1088
340,Anthus cervinus,1089
341,Anthus chacoensis,1090
342,Anthus cinnamomeus,1094
343,Anthus correndera,1095
344,Anthus crenatus,1096
345,Anthus furcatus,1097
346,Anthus godlewskii,1098
347,Anthus gustavi,1099
348,Anthus hellmayri,1101
349,Anthus hodgsoni,1102
350,Anthus leucophrys,1105
351,Anthus lineiventris,1106
352,Anthus lutescens,1107
353,Anthus nattereri,1109
354,Anthus novaeseelandiae,1112
355,Anthus peruvianus,1115
356,Anthus petrosus,1116
357,Anthus pratensis,1117
358,Anthus richardi,1118
359,Anthus roseatus,1119
360,Anthus rubescens,1120
361,Anthus rufulus,1121
362,Anthus similis,1122
363,Anthus spinoletta,1124
364,Anthus spragueii,1125
365,Anthus sylvanus,1126
366,Anthus trivialis,1127
367,Antigone antigone,1130
368,Antigone canadensis,1132
369,Antigone rubicunda,1134
