srcLabelIx,srcLabelName,dstLabelId
0,Acanthis cabaret,15
1,Acanthis flammea,16
2,Acanthis hornemanni,18
3,Astur atricapillus,49
4,Astur gentilis,50
5,Tachyspiza badia,51
6,Astur cooperii,60
7,Accipiter nisus,79
8,Accipiter striatus,88
9,Acheta domesticus,110
10,Acridotheres cristatellus,120
11,Acridotheres tristis,127
12,Acris crepitans,130
13,Acrocephalus agricola,138
14,Acrocephalus arundinaceus,139
15,Acrocephalus baeticatus,142
16,Acrocephalus dumetorum,147
17,Acrocephalus melanopogon,153
18,Acrocephalus paludicola,158
19,Acrocephalus palustris,159
20,Acrocephalus schoenobaenus,165
21,Acrocephalus scirpaceus,166
22,Acryllium vulturinum,183
23,Actitis hypoleucos,201
24,Actitis macularius,202
25,Aechmophorus clarkii,227
26,Aechmophorus occidentalis,228
27,Aegithalos caudatus,231
28,Aegolius acadicus,244
29,Aegolius funereus,245
30,Agapornis fischeri,368
31,Agapornis personatus,371
32,Agelaius phoeniceus,381
33,Aix galericulata,436
34,Aix sponsa,437
35,Alauda arvensis,444
36,Alaudala rufescens,451
37,Alca torda,459
38,Alcedo atthis,460
39,Alces alces,468
40,Alectoris barbara,493
41,Alectoris chukar,494
42,Alectoris graeca,495
43,Alectoris rufa,499
44,Alle alle,514
45,Allonemobius allardi,538
46,Allonemobius fasciatus,539
47,Allonemobius tinnulus,547
48,Alopochen aegyptiaca,564
49,Alytes obstetricans,584
50,Amandava amandava,589
51,Amazona aestiva,614
52,Amazona oratrix,636
53,Amblycorypha longinicta,661
54,Amblycorypha oblongifolia,662
55,Amblycorypha rotundifolia,665
56,Ammodramus savannarum,707
57,Ammomanes deserti,709
58,Ammospiza caudacuta,719
59,Ammospiza leconteii,720
60,Ammospiza maritima,721
61,Ammospiza nelsoni,722
62,Anarhynchus alexandrinus,793
63,Anarhynchus leschenaultii,805
64,Anas acuta,816
65,Anas bahamensis,819
66,Anas carolinensis,822
67,Spatula clypeata,825
68,Anas crecca,827
69,Spatula cyanoptera,828
70,Anas fulvigula,838
71,Mareca penelope,848
72,Anas platyrhynchos,852
73,Spatula querquedula,854
74,Anas rubripes,856
75,Mareca strepera,862
76,Anaxipha exigua,874
77,Anaxipha vernalis,887
78,Anaxyrus americanus,889
79,Anaxyrus fowleri,897
80,Anhinga anhinga,945
81,Anser albifrons,988
82,Anser anser,989
83,Anser brachyrhynchus,991
84,Anser caerulescens,992
85,Anser cygnoides,996
86,Anser erythropus,998
87,Anser fabalis,999
88,Anser indicus,1000
89,Anser rossii,1001
90,Anser serrirostris,1003
91,Grus virgo,1078
92,Anthus berthelotii,1083
93,Anthus campestris,1088
94,Anthus cervinus,1089
