id,name,english,german,gbif,class,order
1,Abavorana luctuosa,,,Abavorana luctuosa,Amphibia,Anura
3,Abeillia abeillei,Emerald-chinned Hummingbird,Smaragdkehlkolibri,Abeillia abeillei,Aves,Apodiformes
4,Abies balsamea,,,,,
5,Abroscopus albogularis,Rufous-faced Warbler,Rostwangen-Dickichtsänger,Abroscopus albogularis,Aves,Passeriformes
6,Abroscopus schisticeps,Black-faced Warbler,Schieferkopf-Dickichtsänger,Abroscopus schisticeps,Aves,Passeriformes
7,Abroscopus superciliaris,Yellow-bellied Warbler,Bambusdickichtsänger,Abroscopus superciliaris,Aves,Passeriformes
8,Abudefduf saxatilis,Damsel fish,,Abudefduf saxatilis,,Perciformes
9,Aburria aburri,Wattled Guan,Lappenguan,Aburria aburri,Aves,Galliformes
10,Acacia islana,,,,,
11,Acacia melanoxylon,,,,,
12,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,Braunkehl-Honigfresser,Acanthagenys rufogularis,Aves,Passeriformes
13,Acanthidops bairdi,Peg-billed Finch,Vulkanammertangare,Acanthidops bairdi,Aves,Passeriformes
14,Acanthinodera cumingii,,,Acanthinodera cumingii,Insecta,Coleoptera
15,Acanthis cabaret,,Alpenbirkenzeisig,Acanthis flammea,Aves,Passeriformes
16,Acanthis flammea,Redpoll,Taigabirkenzeisig,Acanthis flammea,Aves,Passeriformes
18,Acanthis hornemanni,,Polarbirkenzeisig,Acanthis hornemanni,Aves,Passeriformes
19,Acanthisitta chloris,Rifleman,Grünstummelschwanz,Acanthisitta chloris,Aves,Passeriformes
20,Acanthiza apicalis,Inland Thornbill,Stelzschwanz-Dornschnabel,Acanthiza apicalis,Aves,Passeriformes
21,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Gelbbürzel-Dornschnabel,Acanthiza chrysorrhoa,Aves,Passeriformes
22,Acanthiza cinerea,Grey Thornbill,Weißbürzel-Dornschnabel,Gerygone cinerea,Aves,Passeriformes
23,Acanthiza ewingii,Tasmanian Thornbill,Tasmandornschnabel,Acanthiza ewingii,Aves,Passeriformes
24,Acanthiza inornata,Western Thornbill,Walddornschnabel,Acanthiza inornata,Aves,Passeriformes
25,Acanthiza iredalei,Slender-billed Thornbill,Grunddornschnabel,Acanthiza iredalei,Aves,Passeriformes
26,Acanthiza katherina,Mountain Thornbill,Bergdornschnabel,Acanthiza katherina,Aves,Passeriformes
27,Acanthiza lineata,Striated Thornbill,Stricheldornschnabel,Acanthiza lineata,Aves,Passeriformes
28,Acanthiza murina,New Guinea Thornbill,Papuadornschnabel,Acanthiza murina,Aves,Passeriformes
29,Acanthiza nana,Yellow Thornbill,Gelbbauch-Dornschnabel,Acanthiza nana,Aves,Passeriformes
30,Acanthiza pusilla,Brown Thornbill,Roststirn-Dornschnabel,Acanthiza pusilla,Aves,Passeriformes
31,Acanthiza reguloides,Buff-rumped Thornbill,Goldhähnchen-Dornschnabel,Acanthiza reguloides,Aves,Passeriformes
32,Acanthiza robustirostris,Slaty-backed Thornbill,Graurücken-Dornschnabel,Acanthiza robustirostris,Aves,Passeriformes
33,Acanthiza uropygialis,Chestnut-rumped Thornbill,Braunbürzel-Dornschnabel,Acanthiza uropygialis,Aves,Passeriformes
34,Acanthodis tessellata,,,Acanthodis tessellata,Insecta,Orthoptera
35,Acanthodoras spinosissimus,Croaking catfish,,Acanthodoras spinosissimus,,Siluriformes
36,Acanthogryllus acus,,,Acanthogryllus acus,Insecta,Orthoptera
37,Acanthogryllus brunneri,,,Acanthogryllus brunneri,Insecta,Orthoptera
38,Acanthophora spicifera,,,,Insecta,
39,Acanthoplus discoidalis,,,Acanthoplus discoidalis,Insecta,Orthoptera
40,Acanthorhynchus superciliosus,Western Spinebill,Buntkopf-Honigfresser,Acanthorhynchus superciliosus,Aves,Passeriformes
41,Acanthorhynchus tenuirostris,Eastern Spinebill,Rotnacken-Honigfresser,Acanthorhynchus tenuirostris,Aves,Passeriformes
42,Acanthornis magna,Scrubtit,Stammhuscher,Acanthornis magna,Aves,Passeriformes
43,Acanthosoma haemorrhoidale,,,Acanthosoma haemorrhoidale,Insecta,Hemiptera
